,Role,Company,Location,Min_Salary,Max_Salary,Average_Salary,Employment Type,Min_Experience,Max_Experience,UG,PG,Doctorate,Key Skills,Industry Type,Department,Role Category,Date Posted,Openings,Applications,Reviews
0,data scientist,tech mahindra,"['bangalore', 'hyderabad', 'pune']",,,,"full time, permanent",6,11,Any Graduate,Not Specified,Not Specified,"['azure', 'deep learning', 'gen ai', 'llm', 'machine laerning', 'natural language processing']",it services and consulting,data science and analytics,data science and machine learning,09-09-2024,5,218,3.6
1,data engineer,pss,['hyderabad'],1100000.0,1800000.0,1450000.0,"full time, permanent",4,9,Any Graduate,Not Specified,Not Specified,"['advance sql', 'etl tool', 'machine learning', 'ml algorithms', 'python', 'spark', 'sql', 'sql queries']",it services and consulting,data science and analytics,data science and machine learning,09-09-2024,1,145,
2,data science and analytics - other,indusind bank,['gurgaon'],,,,"full time, permanent",6,10,b.tech/b.e.,Not Specified,Not Specified,"['banking analytics', 'campaign analytics', 'customer analytics', 'data science', 'marketing analytics', 'model development', 'python', 'sql', 'statistical data analysis']",banking,data science and analytics,data science and analytics - other,08-09-2024,3,320,3.8
3,full stack data scientist,ibm,['bangalore'],,,,"full time, permanent",5,6,Any Graduate,any postgraduate,Not Specified,"['business acumen', 'cognos', 'dashboards', 'data analysis', 'data engineering', 'data quality', 'data science', 'dbms', 'erp', 'etl', 'financial accounting', 'forecasting', 'ibm cognos', 'open source', 'product development', 'python', 'reporting tools', 'sql', 'tableau']",it services and consulting,data science and analytics,data science and machine learning,08-09-2024,,20,4.1
4,data scientist,ibm,['bangalore'],,,,"full time, permanent",5,7,Any Graduate,any postgraduate,Not Specified,"['algorithms', 'artificial intelligence', 'aws', 'big data', 'data analysis', 'data analytics', 'data science', 'data visualization', 'deep learning', 'etl', 'hadoop', 'hive', 'kafka', 'machine learning', 'ml', 'natural language processing', 'pandas', 'power bi', 'pyspark', 'python', 'spark', 'sql', 'tableau']",it services and consulting,data science and analytics,data science and machine learning,08-09-2024,,49,4.1
5,full stack data scientist,ibm,['bangalore'],,,,"full time, permanent",3,6,Any Graduate,any postgraduate,Not Specified,"['business acumen', 'cognos', 'dashboards', 'data analysis', 'data engineering', 'data quality', 'data science', 'dbms', 'erp', 'etl', 'financial accounting', 'forecasting', 'ibm cognos', 'open source', 'product development', 'python', 'reporting tools', 'sql', 'tableau']",it services and consulting,data science and analytics,data science and machine learning,08-09-2024,,94,4.1
6,data scientist,ibm,['bangalore'],,,,"full time, permanent",3,7,Any Graduate,any postgraduate,Not Specified,"['algorithms', 'artificial intelligence', 'aws', 'big data', 'data analysis', 'data analytics', 'data science', 'data visualization', 'deep learning', 'etl', 'hadoop', 'hive', 'kafka', 'machine learning', 'ml', 'natural language processing', 'pandas', 'power bi', 'pyspark', 'python', 'spark', 'sql', 'tableau']",it services and consulting,data science and analytics,data science and machine learning,08-09-2024,,128,4.1
7,data platform engineer,ibm,['bangalore'],,,,"full time, permanent",12,16,b.tech/b.e.,any postgraduate,Not Specified,"['agile', 'artificial intelligence', 'c++', 'ci/cd', 'continuous integration', 'couchdb', 'css', 'deep learning', 'distribution system', 'django', 'docker', 'flask', 'golang', 'html', 'java', 'javascript', 'linux', 'machine learning', 'microservices', 'mongodb', 'python', 'pytorch', 'rest', 'spring boot', 'tensorflow']",it services and consulting,engineering - software and qa,software development,08-09-2024,,10,4.1
8,full stack data scientist,ibm,['bangalore'],,,,"full time, permanent",6,10,Any Graduate,any postgraduate,Not Specified,"['advance sql', 'aws', 'dashboards', 'data analysis', 'data analytics', 'data science', 'data visualization', 'gcp', 'ibm cloud', 'machine learning', 'marketing analytics', 'microservices', 'microsoft azure', 'open source', 'product development', 'python', 'r', 'sql', 'statistics', 'tableau', 'web analytics']",it services and consulting,data science and analytics,data science and machine learning,08-09-2024,,21,4.1
9,data platform engineer,ibm,['bangalore'],,,,"full time, permanent",6,8,b.tech/b.e.,any postgraduate,Not Specified,"['algorithms', 'artificial intelligence', 'big data', 'ci/cd', 'continuous integration', 'data science', 'devops', 'docker', 'git', 'iot', 'keras', 'machine learning', 'machine learning algorithms', 'open source', 'product development', 'python', 'pytorch', 'software development', 'spark', 'sql', 'tensorflow']",it services and consulting,engineering - software and qa,software development,08-09-2024,,22,4.1
10,data science and machine learning - other,trianz,"['bangalore', 'hyderabad']",2500000.0,3250000.0,2875000.0,"full time, permanent",9,14,Any Graduate,Not Specified,Not Specified,"['aws', 'deep learning', 'machine learning', 'pyspark', 'python']",it services and consulting,data science and analytics,data science and machine learning,05-09-2024,4,75,3.7
11,data scientist,pepsico,['hyderabad'],,,,"full time, permanent",8,12,Any Graduate,Not Specified,ph.d/doctorate,"['azure databricks', 'data science', 'databricks', 'demand forecasting', 'machine learning', 'ml', 'predictive analytics', 'predictive modeling', 'pyspark', 'python', 'sql', 'time series', 'time series analysis']",it services and consulting,data science and analytics,data science and machine learning,04-09-2024,5,75,4.1
12,research and development - other,indian immunologicals (iil),['hyderabad'],1000000.0,1500000.0,1250000.0,"full time, permanent",5,10,Not Specified,mba/pgdm,Not Specified,"['biostatistics', 'clinical trials', 'data analysis', 'data science', 'regulatory', 'statistical modeling', 'vaccine development']",pharmaceutical and life sciences,research and development,research and development - other,04-09-2024,1,166,4.1
13,data scientist,docskiff,['hyderabad'],,,,"full time, permanent",5,10,b.tech/b.e.,m.tech,Not Specified,"['aws', 'aws sagemaker', 'azure', 'docker', 'kubeflow', 'machine learning', 'mlflow', 'natural language processing', 'python', 'pytorch', 'tensorflow']",it services and consulting,data science and analytics,data science and machine learning,10-09-2024,1,9,
14,data scientist,leading client,"['bangalore', 'coimbatore', 'hyderabad']",,,,"full time, permanent",5,8,Any Graduate,any postgraduate,Not Specified,"['ci/cd', 'data science', 'docker', 'genesys', 'ml models', 'nlp algorithms', 'python', 'rag', 'software development', 'vector databases', 'version control']",it services and consulting,data science and analytics,data science and machine learning,04-09-2024,,144,
15,full stack data scientist,ibm,"['bangalore', 'hyderabad']",,,,"full time, permanent",3,7,Any Graduate,any postgraduate,Not Specified,"['algorithms', 'artificial intelligence', 'data analysis', 'data analytics', 'data science', 'data visualization', 'deep learning', 'hadoop', 'machine learning', 'ml', 'natural language processing', 'open source', 'pandas', 'power bi', 'product development', 'pyspark', 'python', 'spark', 'sql', 'tableau']",it services and consulting,data science and analytics,data science and machine learning,30-08-2024,,633,4.1
16,data science and analytics - other,iifl finance,['mumbai'],,,,"full time, permanent",2,4,Any Graduate,Not Specified,Not Specified,"['application scorecard', 'behaviour scorecard', 'collection scorecard', 'python', 'sas', 'sql']",nbfc,data science and analytics,data science and analytics - other,09-09-2024,1,853,4.0
17,data science and machine learning - other,hcltech,['nagpur'],,,,"full time, permanent",6,10,Any Graduate,Not Specified,Not Specified,"['artificial intelligence', 'ml', 'python']",it services and consulting,data science and analytics,data science and machine learning,09-09-2024,1,94,3.6
18,machine learning engineer,ibm,['bangalore'],,,,"full time, permanent",2,6,Any Graduate,any postgraduate,Not Specified,"['ansible', 'artificial intelligence', 'asynchronous apex', 'aws', 'data analytics', 'devops', 'docker', 'git', 'github', 'java', 'jenkins', 'kubernetes', 'linux', 'machine learning', 'maven', 'ml', 'multithreading', 'openshift', 'podman', 'python', 'redhat linux', 'rest', 'rhce', 'rhel', 'salesforce', 'terraform', 'unix']",it services and consulting,data science and analytics,data science and machine learning,04-09-2024,,268,4.1
19,machine learning engineer,ibm,['bangalore'],,,,"full time, permanent",3,7,Any Graduate,any postgraduate,Not Specified,"['ansible', 'artificial intelligence', 'asynchronous apex', 'aws', 'data analytics', 'devops', 'docker', 'git', 'github', 'java', 'jenkins', 'kubernetes', 'linux', 'machine learning', 'maven', 'ml', 'multithreading', 'openshift', 'podman', 'python', 'redhat linux', 'rest', 'rhce', 'rhel', 'salesforce', 'terraform', 'unix']",it services and consulting,data science and analytics,data science and machine learning,03-09-2024,,96,4.1
20,machine learning engineer,ibm,['bangalore'],,,,"full time, permanent",7,10,Any Graduate,any postgraduate,Not Specified,"['ansible', 'artificial intelligence', 'asynchronous apex', 'aws', 'data analytics', 'devops', 'docker', 'git', 'github', 'java', 'jenkins', 'kubernetes', 'linux', 'machine learning', 'maven', 'ml', 'multithreading', 'openshift', 'podman', 'python', 'redhat linux', 'rest', 'rhce', 'rhel', 'salesforce', 'terraform', 'unix']",it services and consulting,data science and analytics,data science and machine learning,03-09-2024,,22,4.1
